tweetID,tweet,rating
931702970130894850,happy caterday peeps🐾 https://t.co/1zJmDVwvW2,0
928778521559756800,@Buckeyes4Ever85 sending hugs your way sweetheart💜,0
928778171209588736,"@Buckeyes4Ever85 i don't think i like it, every thing seems so big!",0
928777501123297280,"@LifeOfALez yeh good hun, ive got a damn migraine so its back to bed for me. hope you're well?",0
928776924536508416,@LifeOfALez well thats the best update they have done! thanks for letting me know  i thought my eyes were playing tricks,0
928776217771180033,@LifeOfALez omg when?,0
924991130457980929,@GratzVince me too lol,0
924962188552372224,me: when someone wants me to open up https://t.co/lBPU84i7kJ,0
923563481818742784,"@Lib_fallenangel @beyondxdarkness omg! someone thought of me, bless your beautiful soul, hope you're well my friend?",0
921908377428430848,@FastingforLife I swear you speak my words and thoughts💜,0
921589792743104512,"@oldlostsock no its not at all, something needs to change because you'll end having nervous break down",0
921173950960254977,@SparkyyXx you tricked me! i thought it was sparky!💜,0
921173505885970432,"@SparkyyXx sparky's licking his back again, have you noticed anything? so cute sparky welcomes you home.💜",0
921070835028279297,@kdc_goth geez that sounds extremely confusing,0
920984436853809155,"@Buckeyes4Ever85 you called me a friend..., that warmed my heart as you've become such a supportive and caring frie… https://t.co/yilNYXCYZT",0
920926430715830272,@Buckeyes4Ever85 speechless.. just wow!! and finished with stone cold!,0
920868224610082818,@Buckeyes4Ever85 goodnight sweetheart. 💜,0
920866691218681856,"@KarenKts11 sorry to here your're struggling,  sending love and hugs your way hun,  always here to talk dm any time. 💜",0
920864844382814208,@Buckeyes4Ever85 the bloody power went out and ive only got 13% battery life ffs,0
920864621275127808,@Buckeyes4Ever85 aww bless you hun😘❤,0
920859192147066880,"@Buckeyes4Ever85 back to watching simply complicated.  now i know where ""stay strong"" comes from",0
920858755708760064,@Buckeyes4Ever85 fxck your're good lol,0
920855663399510016,@Buckeyes4Ever85 i've started watching her simply complicated video..,0
920849801096208384,@CraigDurhamJr sometimes i really wonder if that's true.,0
920849504466649089,"@Buckeyes4Ever85 she's not very well know in my country. i also downloaded ""stone cold"" she's got a great powerful voice.",0
920845663281102848,@CraigDurhamJr yeah it truly is..🐱,0
920845495836188672,@Buckeyes4Ever85 love it! just downloaded it💜,0
920664439182974976,@FastingforLife *it,0
920664031819546625,@LifeOfALez so nice to see you on my time line💜,0
920662404869922817,@Wolvianna sending hugs your way hun💜,0
920661497046384645,"@FastingforLife you're right, but people just don't get and its frustrating",0
920647513010348032,@FastingforLife *hun,0
920575345757110272,"@FastingforLife fxck i know exactly that feeling gun, I'm so sorry you have to go through it too. its like grieving the alive💜",0
918527788814032896,@TheBestJenXx well my off still stands if you need anything,0
918526933691916288,@TheBestJenXx I'll check the delivery prices because I can send you a year ( they come in 12 months) flee and wormi… https://t.co/LzSeSV2wA1,0
918525445791891456,@TheBestJenXx sparky myfavorite family member until I get my 2 then you'll be equal. love you sparky. oh did you fi… https://t.co/VrWTSDwVnd,0
918524261970599936,@TheBestJenXx omg every second until I have no followers left lol,0
918523731026182144,"@TheBestJenXx cats too, I would also like to get the cat that has had the worst life before entering the shelter",0
918522176386375680,@TheBestJenXx lol all cats are pains but we love them. my heart goes out to the kitten shelter they need the most l… https://t.co/H7jAeAPuYo,0
918521186266390528,"@TheBestJenXx so true! thinking of getting kitten, tho not sure if I want a pure bred British blue or a kitten from… https://t.co/PoDoxzWZhl",0
918519796622180352,@TheBestJenXx thanks hun at least a simple phone/one can lift your spirits,0
918519507097808896,@TheBestJenXx trust me I've smashed a few phones in the last couple of months,0
918519342320332800,@TheBestJenXx where what apps now I'm too happy😅,0
918517593148755968,@TheBestJenXx I wish I could draw and like there's over 100 colors and sparkles,0
918516295712227329,@TheBestJenXx you can do your own fifs I'm excited,0
918516153843986434,@trshmsv it comes with a pen and you can created your own gifs,0
918515935660486656,@TheBestJenXx omg so much better I just love the pen!,0
916967949751042048,@iamjeanius ily too💜,0
916792207293636608,"@iamjeanius Of course you are my friend, you're genuine and you have a beautiful soul.💘❤💓💔💕💖💗💙💚❣💟💞💝🖤",0
916681719335370752,@rihitbetterfent Thankyou for your kind words.,0
916661364738859008,@CraigDurhamJr So relatable🤐,0
916660860054937600,@rihitbetterfent Bless you for your kind words.💜,0
916484709978214400,"@iamjeanius Its a pleasure, you're my friend its been 5 years on twitter",0
916479136968859649,@iamjeanius sorry to here you're stuggling if you ever want to vent DM me  any tima💜.,0
916431528250400768,@iamjeanius Hope you're okay sweetheart?,0
916387742484795392,@SparkyyXx thats good to know I was a little worried💜,0
916344497344200704,@SparkyyXx Hope you're okay him?,0
916224812552396800,@cessywap People do care for you💜,0
916217003714605057,@oldlostsock @Lib_fallenangel Relatable🙁,0
916190173548834816,@skinnyanorexic sending you lots of hugs ily 😚💜 xx,0
895642802209472512,"@FastingforLife still.... he shouldn't be mad at you, she came to you in confidence... that's what loyalty is all a… https://t.co/qcf2InhmBJ",0
895641583931883522,"@melancholia_x wow, i'm speechless your hair is so on point. you both are absolutely beautiful😺💜",0
895325537727533056,"@SparkyyXx you're not at all selfish, but you must remember to take time out for just you💜",0
895314272422514688,@SparkyyXx sorry you're struggling with anxiety today hun💜,0
895024463716139008,@FastingforLife yes we do. i'm always here if you need to talk or vent💜,0
895021065386078208,@FastingforLife that's a very true statement hun.,0
895018142497243137,"@deaxdx i'm doing okay, how about you?",0
894913103413911556,@purging_princes just reading that gave me the shivers. you're one strong lady hun💜,0
894902162999828480,"@melancholia_x that was me today too, its worth it when you get your hands on them lol",0
894845448476807168,@HerSkinnyDiary so happy for you hun! and you're not a psycho just misunderstood just like me💜,0
893883665561800705,@Whisper2Mi yeah it kinda sucks💜,0
890555623158431748,"i hate getting so sad to the point where my body completely shuts down, and all i can do is just lay there and think about all my problems.",0
883588305111048193,"@Prettyinthin know the feeling well, being house bound because of my social anxiety.. makes my depression worse.",0
882865656516886528,i already know i’m not good enough.,0
882857702195474433,sleeping is so hard when you can't stop thinking.,0
882069450928791552,"i'm not the same anymore. i'll admit it, a lot of shit got to me.",0
881570327477669888,social anxiety sucks. you unintentionally make yourself sad you feel alone even when you're not and sometimes you dont even know whats wrong,0
881544884271726594,i say sorry a lot because i secretly feel that everything is my fault.,0
833660222023442432,"it sucks, doesn't it? feeling like you're not good enough, no matter how hard you try.",0
833198735286898688,"depression isn't always sadness, it can also be emptiness, anger, tiredness or loneliness. sometimes a cry for help isn't so visible..",0
833183115753328640,"do you ever feel physically sick because you know you're not good enough for anyone and can't do anything right, no matter how hard you try.",0
833159293532639233,i wish someone was afraid to lose me i'm always scared of losing people that i love but i doubt anyone would fight to keep me in their life.,0
831488867609899008,"i'm just so tired of this. my body is tired, my mind is a mess. i just really want to lay in bed and never get up. i'm just so tired of life",0
823516773903253505,"sometimes i'm disappointed in myself, because i know i'm better than the choices i make and the things i choose to deal with.",0
